Team_1,Team_2,Team1_Score,Team2_Score,Team1_Raid_Points,Team2_Raid_Points,Team1_Tackle_Points,Team2_Tackle_Points,Team1_AllOut_Points,Team2_AllOut_Points,Team1_Extra_Points,Team2_Extra_Points,Winner
U Mumba,Patna Pirates,,,,,,,,,,,
Haryana Steelers,Bengaluru Bulls,,,,,,,,,,,
Telugu Titans,Puneri Paltan,,,,,,,,,,,
Jaipur Pink Panthers,Bengaluru Bulls,,,,,,,,,,,
Haryana Steelers,Telugu Titans,,,,,,,,,,,
UP Yoddha,Dabang Delhi,,,,,,,,,,,
Gujarat Fortune Giants,Patna Pirates,,,,,,,,,,,
Bengal Warriors,Patna Pirates,,,,,,,,,,,
UP Yoddha,Puneri Paltan,,,,,,,,,,,
Telugu Titans,Gujarat Fortune Giants,,,,,,,,,,,
Tamil Thalaivas,Jaipur Pink Panthers,,,,,,,,,,,
Bengal Warriors,Tamil Thalaivas,,,,,,,,,,,
UP Yoddha,Telugu Titans,,,,,,,,,,,
U Mumba,Haryana Steelers,,,,,,,,,,,
Dabang Delhi,U Mumba,,,,,,,,,,,
UP Yoddha,Bengaluru Bulls,,,,,,,,,,,
